country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Greece,3.9,22.1,10.3,30.7,"28.700,00","673,00",80.4,1.48,"26.900,00"
Grenada,14.6,23.8,5.86,49.2,"11.200,00",0.48,71.3,2.24,"7.370,00"
Guatemala,35.4,25.8,6.85,36.3,"6.710,00",5.14,71.3,3.38,"2.830,00"
Guinea,"109,00",30.3,4.93,43.2,"1.190,00",16.1,"58,00",5.34,"648,00"
Guinea-Bissau,"114,00",14.9,8.5,35.2,"1.390,00",2.97,55.6,5.05,"547,00"
Guyana,37.6,51.4,5.38,79.1,"5.840,00",5.73,65.5,2.65,"3.040,00"
Haiti,"208,00",15.3,6.91,64.7,"1.500,00",5.45,32.1,3.33,"662,00"
Hungary,"6,00",81.8,7.33,76.5,"22.300,00",2.33,74.5,1.25,"13.100,00"
Iceland,2.6,53.4,9.4,43.3,"38.800,00",5.47,"82,00",2.2,"41.900,00"
India,58.8,22.6,4.05,27.1,"4.410,00",8.98,66.2,2.6,"1.350,00"
Indonesia,33.3,24.3,2.61,22.4,"8.430,00",15.3,69.9,2.48,"3.110,00"
Iran,19.3,24.4,5.6,19.4,"17.400,00",15.9,74.5,1.76,"6.530,00"
Iraq,36.9,39.4,8.41,34.1,"12.700,00",16.6,67.2,4.56,"4.500,00"
Ireland,4.2,"103,00",9.19,86.5,"45.700,00",-3.22,80.4,2.05,"48.700,00"
Israel,4.6,"35,00",7.63,32.9,"29.600,00",1.77,81.4,3.03,"30.600,00"
Italy,"4,00",25.2,9.53,27.2,"36.200,00","319,00",81.7,1.46,"35.800,00"
Jamaica,18.1,31.3,4.81,49.6,"8.000,00",9.81,74.7,2.17,"4.680,00"
Japan,3.2,"15,00",9.49,13.6,"35.800,00",-1.9,82.8,1.39,"44.500,00"
Jordan,21.1,48.3,8.04,"69,00","9.470,00",8.43,75.8,3.66,"3.680,00"
Kazakhstan,21.5,44.2,4.29,29.9,"20.100,00",19.5,68.4,2.6,"9.070,00"
Kenya,62.2,20.7,4.75,33.6,"2.480,00",2.09,62.8,4.37,"967,00"
Kiribati,62.7,13.3,11.3,79.9,"1.730,00",1.52,60.7,3.84,"1.490,00"
Kuwait,10.8,66.7,2.63,30.4,"75.200,00",11.2,78.2,2.21,"38.500,00"
Kyrgyz Republic,29.6,51.6,6.18,81.7,"2.790,00","10,00",68.5,3.1,"880,00"
Lao,78.9,35.4,4.47,49.3,"3.980,00",9.2,63.8,3.15,"1.140,00"
Latvia,7.8,53.7,6.68,55.1,"18.300,00","-812,00",73.1,1.36,"11.300,00"
Lebanon,10.3,35.8,7.03,60.2,"16.300,00","238,00",79.8,1.61,"8.860,00"
Lesotho,99.7,39.4,11.1,"101,00","2.380,00",4.15,46.5,3.3,"1.170,00"
Liberia,89.3,19.1,11.8,92.6,"700,00",5.47,60.8,5.02,"327,00"
Libya,16.6,65.6,3.88,42.1,"29.600,00",14.2,76.1,2.41,"12.100,00"
Lithuania,6.1,65.3,7.04,67.2,"21.100,00",2.38,73.2,1.5,"12.000,00"
Luxembourg,2.8,"175,00",7.77,"142,00","91.700,00",3.62,81.3,1.63,"105.000,00"
"Macedonia, FYR",10.4,39.8,7.09,58.1,"11.400,00",2.04,"74,00",1.47,"4.540,00"
Madagascar,62.2,"25,00",3.77,"43,00","1.390,00",8.79,60.8,4.6,"413,00"
Malawi,90.5,22.8,6.59,34.9,"1.030,00",12.1,53.1,5.31,"459,00"
Malaysia,7.9,86.9,4.39,"71,00","21.100,00",7.27,74.5,2.15,"9.070,00"
Maldives,13.2,77.6,6.33,65.4,"10.500,00",2.88,77.9,2.23,"7.100,00"
Mali,"137,00",22.8,4.98,35.1,"1.870,00",4.37,59.5,6.55,"708,00"
Malta,6.8,"153,00",8.65,"154,00","28.300,00",3.83,80.3,1.36,"21.100,00"
Mauritania,97.4,50.7,4.41,61.2,"3.320,00",18.9,68.2,4.98,"1.200,00"
Mauritius,"15,00",51.2,"6,00",62.2,"15.900,00",1.13,73.4,1.57,"8.000,00"
"Micronesia, Fed. Sts.","40,00",23.5,14.2,"81,00","3.340,00",3.8,65.4,3.46,"2.860,00"
Moldova,17.2,39.2,11.7,78.5,"3.910,00",11.1,69.7,1.27,"1.630,00"
Mongolia,26.1,46.7,5.44,56.7,"7.710,00",39.2,66.2,2.64,"2.650,00"
Montenegro,6.8,"37,00",9.11,62.7,"14.000,00",1.6,76.4,1.77,"6.680,00"
Morocco,33.5,32.2,5.2,"43,00","6.440,00","976,00",73.5,2.58,"2.830,00"
Mozambique,"101,00",31.5,5.21,46.2,"918,00",7.64,54.5,5.56,"419,00"
Myanmar,64.4,"109,00",1.97,0.0659,"3.720,00",7.04,66.8,2.41,"988,00"
Namibia,"56,00",47.8,6.78,60.7,"8.460,00",3.56,58.6,3.6,"5.190,00"
Nepal,"47,00",9.58,5.25,36.4,"1.990,00",15.1,68.3,2.61,"592,00"
Netherlands,4.5,"72,00",11.9,63.6,"45.500,00","848,00",80.7,1.79,"50.300,00"
New Zealand,6.2,30.3,10.1,"28,00","32.300,00",3.73,80.9,2.17,"33.700,00"
Niger,"123,00",22.2,5.16,49.1,"814,00",2.55,58.8,7.49,"348,00"
Nigeria,"130,00",25.3,5.07,17.4,"5.150,00","104,00",60.5,5.84,"2.330,00"
Norway,3.2,39.7,9.48,28.5,"62.300,00",5.95,"81,00",1.95,"87.800,00"
Oman,11.7,65.7,2.77,41.2,"45.300,00",15.6,76.1,2.9,"19.300,00"
Pakistan,92.1,13.5,2.2,19.4,"4.280,00",10.9,65.3,3.85,"1.040,00"
Panama,19.7,"70,00",8.1,78.2,"15.400,00",2.59,77.8,2.62,"8.080,00"
Paraguay,24.1,55.1,5.87,51.5,"7.290,00",6.1,74.1,2.73,"3.230,00"
Peru,20.3,27.8,5.08,23.8,"9.960,00",5.71,77.9,2.54,"5.020,00"
Philippines,31.9,34.8,3.61,36.6,"5.600,00",4.22,"69,00",3.16,"2.130,00"
Poland,"6,00",40.1,7.46,42.1,"21.800,00",1.66,76.3,1.41,"12.600,00"
Portugal,3.9,29.9,"11,00",37.4,"27.200,00","643,00",79.8,1.39,"22.500,00"
Qatar,"9,00",62.3,1.81,23.8,"125.000,00",6.98,79.5,2.07,"70.300,00"
Romania,11.5,32.6,5.58,38.8,"17.800,00",3.53,73.7,1.59,"8.230,00"
Russia,"10,00",29.2,5.08,21.1,"23.100,00",14.2,69.2,1.57,"10.700,00"
Rwanda,63.6,"12,00",10.5,"30,00","1.350,00",2.61,64.6,4.51,"563,00"
Samoa,18.9,29.2,6.47,53.1,"5.400,00",1.72,71.5,4.34,"3.450,00"
Saudi Arabia,15.7,49.6,4.29,"33,00","45.400,00",17.2,75.1,2.96,"19.300,00"
Senegal,66.8,24.9,5.66,40.3,"2.180,00",1.85,"64,00",5.06,"1.000,00"
Serbia,7.6,32.9,10.4,47.9,"12.700,00",5.88,74.7,1.4,"5.410,00"
Seychelles,14.4,93.8,3.4,"108,00","20.400,00",-4.21,73.4,2.17,"10.800,00"
Sierra Leone,"160,00",16.8,13.1,34.5,"1.220,00",17.2,"55,00",5.2,"399,00"
Singapore,2.8,"200,00",3.96,"174,00","72.100,00","-46,00",82.7,1.15,"46.600,00"
Slovak Republic,"7,00",76.3,8.79,77.8,"25.200,00","485,00",75.5,1.43,"16.600,00"
Slovenia,3.2,64.3,9.41,62.9,"28.700,00","-987,00",79.5,1.57,"23.400,00"
Solomon Islands,28.1,49.3,8.55,81.2,"1.780,00",6.81,61.7,4.24,"1.290,00"
South Africa,53.7,28.6,8.94,27.4,"12.000,00",6.35,54.3,2.59,"7.280,00"
South Korea,4.1,49.4,6.93,46.2,"30.400,00",3.16,80.1,1.23,"22.100,00"
Spain,3.8,25.5,9.54,26.8,"32.500,00",0.16,81.9,1.37,"30.700,00"
Sri Lanka,11.2,19.6,2.94,26.8,"8.560,00",22.8,74.4,2.2,"2.810,00"
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,"9.920,00",4.44,71.6,2.07,"6.230,00"
Sudan,76.7,19.7,6.32,17.2,"3.370,00",19.6,66.3,4.88,"1.480,00"
Suriname,24.1,52.5,7.01,38.4,"14.200,00",7.2,70.3,2.52,"8.300,00"
Sweden,"3,00",46.2,9.63,40.7,"42.900,00","991,00",81.5,1.98,"52.100,00"
Switzerland,4.5,"64,00",11.5,53.3,"55.500,00","317,00",82.2,1.52,"74.600,00"
Tajikistan,52.4,14.9,5.98,58.6,"2.110,00",12.5,69.6,3.51,"738,00"
Tanzania,71.9,18.7,6.01,29.1,"2.090,00",9.25,59.3,5.43,"702,00"
Thailand,14.9,66.5,3.88,60.8,"13.500,00",4.08,76.6,1.55,"5.080,00"
Timor-Leste,62.6,2.2,9.12,27.8,"1.850,00",26.5,71.1,6.23,"3.600,00"
Togo,90.3,40.2,7.65,57.3,"1.210,00",1.18,58.7,4.87,"488,00"
Tonga,17.4,12.4,5.07,60.3,"4.980,00",3.68,69.9,3.91,"3.550,00"
Tunisia,17.4,50.5,6.21,55.3,"10.400,00",3.82,76.9,2.14,"4.140,00"
Turkey,19.1,20.4,6.74,25.5,"18.000,00",7.01,78.2,2.15,"10.700,00"
Turkmenistan,"62,00",76.3,2.5,44.5,"9.940,00",2.31,67.9,2.83,"4.440,00"
Uganda,"81,00",17.1,9.01,28.6,"1.540,00",10.6,56.8,6.15,"595,00"
Ukraine,11.7,47.1,7.72,51.1,"7.820,00",13.4,70.4,1.44,"2.970,00"
United Arab Emirates,8.6,77.7,3.66,63.6,"57.600,00",12.5,76.5,1.87,"35.000,00"
United Kingdom,5.2,28.2,9.64,30.8,"36.200,00",1.57,80.3,1.92,"38.900,00"
United States,7.3,12.4,17.9,15.8,"49.400,00",1.22,78.7,1.93,"48.400,00"
Uruguay,10.6,26.3,8.35,25.4,"17.100,00",4.91,76.4,2.08,"11.900,00"
Uzbekistan,36.3,31.7,5.81,28.5,"4.240,00",16.5,68.8,2.34,"1.380,00"
Vanuatu,29.2,46.6,5.25,52.7,"2.950,00",2.62,"63,00",3.5,"2.970,00"
Venezuela,17.1,28.5,4.91,17.6,"16.500,00",45.9,75.4,2.47,"13.500,00"
Vietnam,23.3,"72,00",6.84,80.2,"4.490,00",12.1,73.1,1.95,"1.310,00"
Yemen,56.3,"30,00",5.18,34.4,"4.480,00",23.6,67.5,4.67,"1.310,00"
Zambia,83.1,"37,00",5.89,30.9,"3.280,00","14,00","52,00",5.4,"1.460,00"
